Section Number,Title,Text Preview,Suggested Tags,Reason
11B-411.3,Width.,Width. The width of elevator doors shall comply with Table 11B-407.4.1. The width of elevator doors shall comply with Table 11B-407.4.1.,NONE,no match
11B-411.4,Duration.,Duration. Floor destination characters shall be displayed upon elevator car arrival at the input floor and shall not extinguish until the el…,NONE,no match
11B-501,GENERAL,,NONE,no match
11B-501.1,Scope.,Scope. The provisions of Division 5 shall apply where required by Division 2 or where referenced by a requirement in this chapter. The provi…,NONE,Skipped: definitional/scoping
11B-502,General.,,NONE,no match
11B-502.1,General.,"General. Car and van parking spaces shall comply with Section 11B-502. Where parking spaces are marked with lines, width measurements of par…",NONE,no match
11B-502.2,Vehicle spaces.,Vehicle spaces. Car and van parking spaces shall be 216 inches (5486 mm) long minimum. Car parking spaces shall be 108 inches (2743 mm) wide…,NONE,no match
11B-502.3,Location.,Location. Access aisles shall not overlap the vehicular way. Access aisles shall be permitted to be placed on either side of the parking spa…,NONE,no match
11B-502.4,Floor or ground surfaces.,Floor or ground surfaces. Parking spaces and access aisles serving them shall comply with Section 11B-302. Access aisles shall be at the sam…,NONE,no match
11B-502.5,Vertical clearance.,"Vertical clearance. Parking spaces, access aisles and vehicular routes serving them shall provide a vertical clearance of 98 inches (2489 mm…",NONE,no match
11B-502.6,Marking.,Marking. Each accessible car and van space shall have surface identification complying with either Section 11B-502.6.4.1 or 11B-502.6.4.2. T…,NONE,no match
11B-502.7,Wheel stops.,Wheel stops. A curb or wheel stop shall be provided if required to prevent encroachment of vehicles over the required clear width of adjacen…,NONE,no match
11B-502.8,Lettering.,Lettering. The additional sign shall clearly state in letters with a minimum height of 1 inch (25 mm) the following: “Unauthorized vehicles …,NONE,no match
11B-503,Access aisle.,,NONE,no match
11B-503.1,General.,General. Passenger drop-off and loading zones shall comply with Section 11B-503. Passenger drop-off and loading zones shall comply with Sect…,NONE,no match
11B-503.2,Vehicle pull-up space.,Vehicle pull-up space. Passenger drop-off and loading zones shall provide a vehicular pull-up space 96 inches (2438 mm) wide minimum and 20 …,NONE,no match
11B-503.3,Marking.,Marking. Access aisles shall be marked with a painted borderline around their perimeter. The area within the borderlines shall be marked wit…,NONE,no match
11B-503.4,Floor and ground surfaces.,Floor and ground surfaces. Vehicle pull-up spaces and access aisles serving them shall comply with Section 11B-302. Access aisles shall be a…,NONE,no match
11B-503.5,Vertical clearance.,"Vertical clearance. Vehicle pull-up spaces, access aisles serving them and a vehicular route from an entrance to the passenger drop-off and …",NONE,no match
11B-504,General.,,NONE,no match
11B-504.1,General.,General. Stairs shall comply with Section 11B-504. Stairs shall comply with Section 11B-504.,NONE,no match
11B-504.2,Treads and risers.,Treads and risers. All steps on a flight of stairs shall have uniform riser heights and uniform tread depths. Risers shall be 4 inches (102 …,NONE,no match
11B-504.3,Open risers.,"Open risers. Open risers are not permitted. Exceptions: 1. On exterior stairways, an opening of not more than 1/2 inch (12.7 mm) may be perm…",NONE,no match
11B-504.4,Contrasting stripe.,Contrasting stripe. Interior stairs shall have the upper approach and lower tread marked by a stripe providing clear visual contrast. Exteri…,NONE,no match
11B-504.5,Nosings.,Nosings. The radius of curvature at the leading edge of the tread shall be 1/2 inch (12.7 mm) maximum. Nosings that project beyond risers sh…,NONE,no match
11B-504.6,Handrails.,Handrails. Stairs shall have handrails complying with Section 11B-505. Stairs shall have handrails complying with Section 11B-505.,NONE,no match
11B-504.7,Wet conditions.,Wet conditions. Stair treads and landings subject to wet conditions shall be designed to prevent the accumulation of water. Stair treads and…,NONE,no match
11B-504.8,Floor identification.,"Floor identification. Floor identification signs required by Chapter 10, Section 1023.9 complying with Sections 11B-703.1, 11B-703.2, 11B-70…",doors,keywords:doors
11B-505,HANDRAILS,,NONE,no match
11B-505.1,General.,"General. Handrails provided along walking surfaces complying with Section 11B-403, required at ramps complying with Section 11B-405, and req…",NONE,no match
11B-505.10,Bottom extension at stairs.,"Bottom extension at stairs. At the bottom of a stair flight, handrails shall extend at the slope of the stair flight for a horizontal distan…",NONE,no match
11B-505.2,Orientation.,"Orientation. The orientation of at least one handrail shall be in the direction of the stair run, perpendicular to the direction of the stai…",NONE,no match
11B-505.3,Continuity.,Continuity. Handrails shall be continuous within the full length of each stair flight or ramp run. Inside handrails on switchback or dogleg …,NONE,no match
11B-505.4,Height.,Height. Top of gripping surfaces of handrails shall be 34 inches (864 mm) minimum and 38 inches (965 mm) maximum vertically above walking su…,NONE,no match
11B-505.5,Clearance.,Clearance. Clearance between handrail gripping surfaces and adjacent surfaces shall be 11/2 inches (38 mm) minimum. Handrails may be located…,NONE,no match
11B-505.6,Gripping surface.,Gripping surface. Handrail gripping surfaces shall be continuous along their length and shall not be obstructed along their tops or sides. T…,NONE,no match
11B-505.7,Non-circular cross sections.,Non-circular cross sections. Handrail gripping surfaces with a non-circular cross section shall have a perimeter dimension of 4 inches (102 …,NONE,no match
11B-505.8,Surfaces.,Surfaces. Handrail gripping surfaces and any surfaces adjacent to them shall be free of sharp or abrasive elements and shall have rounded ed…,NONE,no match
11B-505.9,Fittings.,Fittings. Handrails shall not rotate within their fittings. Handrails shall not rotate within their fittings.,NONE,no match
11B-601,GENERAL,,NONE,no match
11B-601.1,Scope.,Scope. The provisions of Division 6 shall apply where required by Division 2 or where referenced by a requirement in this chapter. The provi…,NONE,Skipped: definitional/scoping
11B-602,DRINKING FOUNTAINS AND BOTTLE-FILLING STATIONS,,NONE,no match
11B-602.1,General.,General. Drinking fountains shall comply with Sections 11B-307 and 11B-602. Drinking fountains shall comply with Sections 11B-307 and 11B-60…,NONE,no match
11B-602.10,Bottle-filling stations.,Bottle-filling stations. Bottle-filling stations shall comply with Sections 11B-307 and 11B-309. Exception: Where bottle-filling stations ar…,NONE,no match
11B-602.2,Clear floor space.,Clear floor space. Units shall have a clear floor or ground space complying with Section 11B-305 positioned for a forward approach and cente…,NONE,no match
11B-602.3,Operable parts.,Operable parts. Operable parts shall comply with Section 11B-309. The flow of water shall be activated by a manually operated system that is…,NONE,no match
11B-602.4,Spout height.,Spout height. Spout outlets shall be 36 inches (914 mm) maximum above the finish floor or ground. Spout outlets shall be 36 inches (914 mm) …,NONE,no match
11B-602.5,Spout location.,Spout location. The spout shall be located 15 inches (381 mm) minimum from the vertical support and 5 inches (127 mm) maximum from the front…,NONE,no match
11B-602.6,Water flow.,Water flow. The spout shall provide a flow of water 4 inches (102 mm) high minimum and shall be located 5 inches (127 mm) maximum from the f…,NONE,no match
11B-602.7,Drinking fountains for standing persons.,Drinking fountains for standing persons. Spout outlets of drinking fountains for standing persons shall be 38 inches (965 mm) minimum and 43…,NONE,no match
11B-602.8,Depth.,Depth. Wall- and post-mounted cantilevered drinking fountains shall be 18 inches (457 mm) minimum and 19 inches (483 mm) maximum in depth. W…,NONE,no match
11B-602.9,Pedestrian protection.,"Pedestrian protection. All drinking fountains shall either be located completely within alcoves, positioned completely between wing walls, o…",NONE,no match
11B-603,Urinal compartments.,,bathrooms,anchors:bathrooms
11B-603.1,General.,General. Toilet and bathing rooms shall comply with Section 11B-603. Toilet and bathing rooms shall comply with Section 11B-603.,bathrooms,anchors:bathrooms;keywords:bathrooms
11B-603.2,Door swing.,Door swing. Doors shall not swing into the clear floor space or clearance required for any fixture. Doors to accessible water closet compart…,"bathrooms,doors",anchors:bathrooms;keywords:bathrooms/doors
11B-603.3,Mirrors.,Mirrors. Mirrors located above lavatories or countertops shall be installed with the bottom edge of the reflecting surface 40 inches (1016 m…,bathrooms,anchors:bathrooms;keywords:bathrooms
11B-603.4,"Coat hooks, shelves and medicine cabinets.","Coat hooks, shelves and medicine cabinets. Coat hooks shall be located within one of the reach ranges specified in Section 11B-308. Shelves …","bathrooms,kitchens",anchors:bathrooms;keywords:kitchens
11B-603.5,Accessories.,"Accessories. Where towel or sanitary napkin dispensers, waste receptacles or other accessories are provided in toilet facilities, at least o…",bathrooms,anchors:bathrooms;keywords:bathrooms
11B-603.6,Guest room toilet and bathing rooms.,"Guest room toilet and bathing rooms. In transient lodging facilities, toilet and bathing rooms within guest rooms that are not required to p…",bathrooms,anchors:bathrooms;keywords:bathrooms
11B-604,Water closet.,,bathrooms,anchors:bathrooms
11B-604.1,General.,General. Water closets and toilet compartments shall comply with Sections 11B-604.2 through 11B-604.8. Exception: Water closets and toilet c…,bathrooms,anchors:bathrooms
11B-604.2,Location.,Location. The water closet shall be positioned with a wall or partition to the rear and to one side. The centerline of the water closet shal…,bathrooms,anchors:bathrooms;keywords:bathrooms
11B-604.3,Overlap.,"Overlap. The required clearance around the water closet shall be permitted to overlap the water closet, associated grab bars, dispensers, sa…",bathrooms,anchors:bathrooms;keywords:bathrooms
11B-604.4,Seats.,Seats. The seat height of a water closet above the finish floor shall be 17 inches (432 mm) minimum and 19 inches (483 mm) maximum measured …,bathrooms,anchors:bathrooms
11B-604.5,Rear wall.,Rear wall. The rear wall grab bar shall be 36 inches (914 mm) long minimum and extend from the centerline of the water closet 12 inches (305…,bathrooms,anchors:bathrooms;keywords:bathrooms
11B-604.6,Flush controls.,Flush controls. Flush controls shall be hand operated or automatic. Hand operated flush controls shall comply with Section 11B-309 except th…,bathrooms,anchors:bathrooms;keywords:bathrooms
11B-604.7,Disposal units.,"Disposal units. Sanitary napkin disposal units, if provided, shall comply with Section 11B-309.4 and shall be wall mounted and located on th…",bathrooms,anchors:bathrooms;keywords:bathrooms
11B-604.8,Coat hooks and shelves.,Coat hooks and shelves. Coat hooks shall be located within one of the reach ranges specified in Section 11B-308. Shelves shall be located 40…,bathrooms,anchors:bathrooms
11B-604.9,Toilet compartments.,Toilet compartments. Toilet compartments shall comply with Section 11B-604.8. Toilet compartments shall comply with Section 11B-604.8.,bathrooms,anchors:bathrooms
11B-605,URINALS,,bathrooms,anchors:bathrooms
11B-605.1,General.,General. Urinals not provided in urinal compartments shall comply with Sections 11B-605.1 through 11B-605.4. Urinals provided in urinal comp…,bathrooms,anchors:bathrooms
11B-605.2,Height and depth.,Height and depth. Urinals shall be the stall-type or the wall-hung type with the rim 17 inches (432 mm) maximum above the finish floor or gr…,bathrooms,anchors:bathrooms;keywords:bathrooms
11B-605.3,Clear floor space.,Clear floor space. A clear floor or ground space complying with Section 11B-305 positioned for forward approach shall be provided. A clear f…,bathrooms,anchors:bathrooms
11B-605.4,Flush controls.,Flush controls. Flush controls shall be hand operated or automatic. Hand operated flush controls shall comply with Section 11B-309 except th…,bathrooms,anchors:bathrooms;keywords:bathrooms
11B-605.5,Toe clearance.,Toe clearance. The front partition and at least one side partition shall provide a toe clearance of 9 inches (229 mm) minimum above the fini…,bathrooms,anchors:bathrooms;keywords:bathrooms
11B-606,Lavatory.,,bathrooms,anchors:bathrooms
11B-606.1,General.,General. Lavatories and sinks shall comply with Section 11B-606. Lavatories and sinks shall comply with Section 11B-606.,bathrooms,anchors:bathrooms;keywords:bathrooms
11B-606.2,Clear floor space.,"Clear floor space. A clear floor space complying with Section 11B-305, positioned for a forward approach, and knee and toe clearance complyi…","bathrooms,kitchens",anchors:bathrooms;keywords:bathrooms/kitchens
11B-606.3,Height.,Height. Lavatories and sinks shall be installed with the front of the higher of the rim or counter surface 34 inches (864 mm) maximum above …,"bathrooms,kitchens",anchors:bathrooms;keywords:bathrooms/kitchens
11B-606.4,Faucets.,Faucets. Controls for faucets shall comply with Section 11B-309. Hand-operated metering faucets shall remain open for 10 seconds minimum. Co…,bathrooms,anchors:bathrooms;keywords:bathrooms
11B-606.5,Exposed pipes and surfaces.,Exposed pipes and surfaces. Water supply and drain pipes under lavatories and sinks shall be insulated or otherwise configured to protect ag…,bathrooms,anchors:bathrooms;keywords:bathrooms
11B-606.6,Adjacent side wall or partition.,"Adjacent side wall or partition. Lavatories, when located adjacent to a side wall or partition, shall be a minimum of 18 inches (457 mm) to …",bathrooms,anchors:bathrooms;keywords:bathrooms
11B-606.7,Sink depth.,"Sink depth. Where a forward approach is required at a sink, knee and toe clearance shall be provided in compliance with Section 11B-306. Whe…",bathrooms,anchors:bathrooms;keywords:bathrooms
11B-607,General.,,bathrooms,anchors:bathrooms
11B-607.1,General.,General. Bathtubs shall comply with Section 11B-607. Bathtubs shall comply with Section 11B-607.,bathrooms,anchors:bathrooms
11B-607.2,Clearance.,Clearance. Clearance in front of bathtubs shall extend the length of the bathtub and shall be 48 inches (1219 mm) wide minimum for forward a…,bathrooms,anchors:bathrooms;keywords:bathrooms
11B-607.3,Seat.,Seat. A permanent seat at the head end of the bathtub or a removable in-tub seat shall be provided. Seats shall comply with Section 11B-610.…,bathrooms,anchors:bathrooms
11B-607.4,Head end wall.,Head end wall. A grab bar 12 inches (305 mm) long minimum shall be installed on the head end wall at the front edge of the bathtub. A grab b…,bathrooms,anchors:bathrooms;keywords:bathrooms
11B-607.5,Controls.,"Controls. Controls, other than drain stoppers, shall be located on an end wall. Controls shall be between the bathtub rim and grab bar, and …",bathrooms,anchors:bathrooms;keywords:bathrooms
11B-607.6,Shower spray unit and water.,Shower spray unit and water. A shower spray unit with a hose 59 inches (1499 mm) long minimum that can be used both as a fixed-position show…,bathrooms,anchors:bathrooms;keywords:bathrooms
11B-607.7,Bathtub enclosures.,"Bathtub enclosures. Enclosures for bathtubs shall not obstruct controls, faucets, shower and spray units or obstruct transfer from wheelchai…",bathrooms,anchors:bathrooms;keywords:bathrooms
11B-608,Subsequent bathrooms.,,bathrooms,anchors:bathrooms
11B-608.1,General.,General. Shower compartments shall comply with Section 11B-608. Shower compartments shall comply with Section 11B-608.,bathrooms,anchors:bathrooms;keywords:bathrooms
11B-608.10,Soap dish.,"Soap dish. Where a soap dish is provided, it shall be located on the control wall at 40 inches (1016 mm) maximum above the shower floor, and…",bathrooms,anchors:bathrooms;keywords:bathrooms
11B-608.2,Alternate roll-in type shower compartments.,Alternate roll-in type shower compartments. Alternate roll-in type shower compartments shall be 36 inches (914 mm) wide and 60 inches (1524 …,bathrooms,anchors:bathrooms;keywords:bathrooms
11B-608.3,Alternate roll-in type shower compartments.,"Alternate roll-in type shower compartments. In alternate roll-in type shower compartments, grab bars shall be provided on the back wall and …",bathrooms,anchors:bathrooms;keywords:bathrooms
11B-608.4,Seats.,Seats. A folding seat shall be provided in roll-in type showers and transfer type shower compartments. Seats shall comply with Section 11B-6…,bathrooms,anchors:bathrooms;keywords:bathrooms
11B-608.5,Alternate roll-in type shower compartments.,"Alternate roll-in type shower compartments. In alternate roll-in type shower compartments, the controls, faucets and shower spray unit shall…",bathrooms,anchors:bathrooms;keywords:bathrooms
11B-608.6,Shower spray unit and water.,Shower spray unit and water. A shower spray unit with a hose 59 inches (1499 mm) long minimum that can be used both as a fixed-position show…,bathrooms,anchors:bathrooms;keywords:bathrooms
11B-608.7,Thresholds.,Thresholds. Thresholds in roll-in type shower compartments shall be 1/2 inch (12.7 mm) high maximum in accordance with Section 11B-303. In t…,bathrooms,anchors:bathrooms;keywords:bathrooms
11B-608.8,Shower enclosures.,"Shower enclosures. Enclosures for shower compartments shall not obstruct controls, faucets and shower spray units or obstruct transfer from …",bathrooms,anchors:bathrooms;keywords:bathrooms
11B-608.9,Shower floor or ground surface.,Shower floor or ground surface. Floor or ground surfaces of showers shall comply with Section 11B-302.1 and shall be sloped 1:48 maximum in …,bathrooms,anchors:bathrooms;keywords:bathrooms
11B-609,General.,,bathrooms,anchors:bathrooms
11B-609.1,General.,General. Grab bars in toilet facilities and bathing facilities shall comply with Section 11B-609. Grab bars in toilet facilities and bathing…,bathrooms,anchors:bathrooms;keywords:bathrooms
11B-609.2,Non-circular cross section.,Non-circular cross section. Grab bars with non-circular cross sections shall have a cross-section dimension of 2 inches (51 mm) maximum and …,bathrooms,anchors:bathrooms
11B-609.3,Spacing.,Spacing. The space between the wall and the grab bar shall be 11/2 inches (38 mm). The space between the grab bar and projecting objects bel…,bathrooms,anchors:bathrooms;keywords:bathrooms
11B-609.4,Position of grab bars.,"Position of grab bars. Grab bars shall be installed in a horizontal position, 33 inches (838 mm) minimum and 36 inches (914 mm) maximum abov…",bathrooms,anchors:bathrooms;keywords:bathrooms
11B-609.5,Surface hazards.,Surface hazards. Grab bars and any wall or other surfaces adjacent to grab bars shall be free of sharp or abrasive elements and shall have r…,bathrooms,anchors:bathrooms
11B-609.6,Fittings.,Fittings. Grab bars shall not rotate within their fittings. Grab bars shall not rotate within their fittings.,bathrooms,anchors:bathrooms
11B-609.7,Installation.,Installation. Grab bars shall be installed in any manner that provides a gripping surface at the specified locations and that does not obstr…,bathrooms,anchors:bathrooms
11B-609.8,Structural strength.,Structural strength. Allowable stresses shall not be exceeded for materials used when a vertical or horizontal force of 250 pounds (1112 N) …,bathrooms,anchors:bathrooms
11B-609.9,Alternate configuration.,Alternate configuration. L-shaped or U-shaped grab bars shall be permitted. L-shaped or U-shaped grab bars shall be permitted.,bathrooms,anchors:bathrooms
11B-610,General.,,bathrooms,anchors:bathrooms
11B-610.1,General.,General. Seats in bathtubs and shower compartments shall comply with Section 11B-610. Seats in bathtubs and shower compartments shall comply…,bathrooms,anchors:bathrooms
11B-610.2,Bathtub seats.,Bathtub seats. The top of bathtub seats shall be 17 inches (432 mm) minimum and 19 inches (483 mm) maximum above the bathroom finish floor. …,bathrooms,anchors:bathrooms
11B-610.3,L-shaped seats.,L-shaped seats. The rear edge of an L-shaped seat shall be 21/2 inches (64 mm) maximum and the front edge 15 inches (381 mm) minimum and 16 …,bathrooms,anchors:bathrooms
11B-610.4,Structural strength.,Structural strength. Allowable stresses shall not be exceeded for materials used when a vertical or horizontal force of 250 pounds (1112 N) …,bathrooms,anchors:bathrooms
11B-611,Washing machines and clothes dryers.,,NONE,no match
11B-611.1,General.,General. Washing machines and clothes dryers shall comply with Section 11B-611. Washing machines and clothes dryers shall comply with Sectio…,NONE,no match
11B-611.2,Clear floor space.,Clear floor space. A clear floor or ground space complying with Section 11B-305 positioned for parallel approach shall be provided. The clea…,NONE,no match
11B-611.3,Operable parts.,"Operable parts. Operable parts, including doors, lint screens and detergent and bleach compartments shall comply with Section 11B-309. Opera…",NONE,no match
11B-611.4,Height.,Height. Top loading machines shall have the door to the laundry compartment located 36 inches (914 mm) maximum above the finish floor. Front…,NONE,no match
11B-612,General.,,NONE,no match
11B-612.1,General.,General. Saunas and steam rooms shall comply with Section 11B-612. Saunas and steam rooms shall comply with Section 11B-612.,NONE,no match
11B-612.2,Bench.,"Bench. Where seating is provided in saunas and steam rooms, at least one bench shall comply with Section 11B-903. Doors shall not swing into…",NONE,no match
11B-612.3,Turning space.,Turning space. A turning space complying with Section 11B-304 shall be provided within saunas and steam rooms. A turning space complying wit…,NONE,no match
11B-701,GENERAL,,NONE,no match
11B-701.1,Scope.,Scope. The provisions of Division 7 shall apply where required by Division 2 or where referenced by a requirement in this chapter. The provi…,NONE,Skipped: definitional/scoping
11B-702,Alarms.,,NONE,no match
11B-702.1,General.,"General. Fire alarm systems shall have permanently installed audible and visible alarms complying with NFPA 72 and Chapter 9, Sections 907.5…",NONE,no match
11B-703,Plan review and inspection.,,NONE,no match
11B-703.1,Inspection.,Inspection. Signs and identification devices shall be field inspected after installation and approved by the enforcing agency prior to the i…,NONE,no match
11B-703.2,Format.,Format. Text shall be in a horizontal format. Text shall be in a horizontal format.,NONE,no match
11B-703.3,Position.,"Position. Braille shall be positioned below the corresponding text in a horizontal format, flush left or centered. If text is multilined, Br…",NONE,no match
11B-703.4,Location.,"Location. Where a tactile sign is provided at a door, the sign shall be located alongside the door at the latch side. Where a tactile sign i…",doors,keywords:doors
11B-703.5,Format.,Format. Text shall be in a horizontal format. Text shall be in a horizontal format.,NONE,no match
11B-703.6,Text descriptors.,Text descriptors. Pictograms shall have text descriptors located directly below the pictogram field. Text descriptors shall comply with Sect…,NONE,no match
11B-703.7,Pedestrian traffic-control buttons.,Pedestrian traffic-control buttons. Pole-supported pedestrian traffic-control buttons shall be identified with color coding consisting of a …,NONE,no match
11B-703.8,Rate of change.,"Rate of change. Where a VMS message can be displayed in its entirety on a single screen, it shall be displayed on a single screen and shall …",NONE,no match
11B-704,General.,,NONE,no match
11B-704.1,General.,General. Public telephones shall comply with Section 11B-704. Public telephones shall comply with Section 11B-704.,NONE,no match
11B-704.2,Cord length.,Cord length. The cord from the telephone to the handset shall be 29 inches (737 mm) long minimum. The cord from the telephone to the handset…,NONE,no match
11B-704.3,Volume control telephones.,Volume control telephones. Public telephones required to have volume controls shall be equipped with a receive volume control that provides …,NONE,no match
11B-704.4,Height.,"Height. When in use, the touch surface of TTY keypads shall be 34 inches (864 mm) minimum above the finish floor. Exception: Where seats are…",NONE,no match
11B-704.5,TTY shelf.,TTY shelf. Public pay telephones required to accommodate portable TTYs shall be equipped with a shelf and an electrical outlet within or adj…,NONE,no match
11B-705,Detectable warnings.,,NONE,no match
11B-705.1,Track crossings.,Track crossings. Detectable warnings at track crossings shall be 36 inches (914 mm) in the direction of pedestrian travel and extend the ful…,NONE,no match
11B-705.2,Detectable directional texture.,Detectable directional texture. Detectable directional texture at transit boarding platforms shall comply with Figure 11B-705.2 and shall be…,NONE,no match
11B-705.3,Product approval.,Product approval. Only approved DSA-AC detectable warning products and directional surfaces shall be installed as provided in the California…,NONE,no match
11B-706,General.,,NONE,no match
11B-706.1,General.,"General. Assistive listening systems required in assembly areas, conference and meeting rooms shall comply with Section 11B-706. Assistive l…",NONE,no match
11B-706.2,Receiver jacks.,Receiver jacks. Receivers required for use with an assistive listening system shall include a 1/8 inch (3.2 mm) standard mono jack. Receiver…,NONE,no match
11B-706.3,Receiver hearing-aid compatibility.,Receiver hearing-aid compatibility. Receivers required to be hearing-aid compatible shall interface with telecoils in hearing aids through t…,NONE,no match
11B-706.4,Sound pressure level.,Sound pressure level. Assistive listening systems shall be capable of providing a sound pressure level of 110 dB minimum and 118 dB maximum …,NONE,no match
11B-706.5,Signal-to-noise ratio.,Signal-to-noise ratio. The signal-to-noise ratio for internally generated noise in assistive listening systems shall be 18 dB minimum. The s…,NONE,no match
11B-706.6,Peak clipping level.,Peak clipping level. Peak clipping shall not exceed 18 dB of clipping relative to the peaks of speech. Peak clipping shall not exceed 18 dB …,NONE,no match
11B-707,General.,,NONE,no match
11B-707.1,General.,"General. Automatic teller machines, fare machines and point-of-sale devices shall comply with Section 11B-707. Automatic teller machines, fa…",NONE,no match
11B-707.2,Clear floor or ground space.,Clear floor or ground space. A clear floor or ground space complying with Section 11B-305 shall be provided. Exception: Clear floor or groun…,NONE,no match
11B-707.3,Operable parts.,"Operable parts. Operable parts shall comply with Section 11B-309. Unless a clear or correct key is provided, each operable part shall be abl…",NONE,no match
11B-707.4,Privacy.,Privacy. Automatic teller machines shall provide the opportunity for the same degree of privacy of input and output available to all individ…,NONE,no match
11B-707.5,Receipts.,"Receipts. Where receipts are provided, speech output devices shall provide audible balance inquiry information, error messages and all other…",NONE,no match
11B-707.6,Tactile symbols.,Tactile symbols. Function key surfaces shall have tactile symbols as follows: Enter or Proceed key: raised circle; Clear or Correct key: rai…,NONE,no match
11B-707.7,Characters.,Characters. Characters displayed on the screen shall be in a sans serif font. Characters shall be 3/16 inch (4.8 mm) high minimum based on t…,NONE,no match
11B-707.8,Braille instructions.,Braille instructions. Braille instructions for initiating the speech mode shall be provided. Braille shall comply with Section 11B-703.3. Br…,NONE,no match
11B-707.9,Other technology.,"Other technology. Other technology, such as a radio frequency identification device, fingerprint biometrics or some other mechanism that ena…",NONE,no match
11B-708,General.,,NONE,no match
11B-708.1,General.,General. Two-way communication systems shall comply with Section 11B-708. Two-way communication systems shall comply with Section 11B-708.,NONE,no match
11B-708.2,Audible and visual indicators.,Audible and visual indicators. The system shall provide both audible and visual signals. The system shall provide both audible and visual si…,NONE,no match
11B-708.3,Handsets.,"Handsets. Handset cords, if provided, shall be 29 inches (737 mm) long minimum. Handset cords, if provided, shall be 29 inches (737 mm) long…",NONE,no match
11B-708.4,Residential dwelling unit interface.,Residential dwelling unit interface. The residential dwelling unit system interface shall include a telephone jack capable of supporting voi…,NONE,no match
11B-801,GENERAL,,NONE,no match
11B-801.1,Scope.,Scope. The provisions of Division 8 shall apply where required by Division 2 or where referenced by a requirement in this chapter. The provi…,NONE,Skipped: definitional/scoping
11B-802,"WHEELCHAIR SPACES, COMPANION SEATS AND DESIGNATED AISLE SEATS AND SEMI-AMBULANT SEATS",,NONE,no match
11B-802.1,Overlap.,Overlap. Wheelchair spaces shall not overlap circulation paths. Wheelchair spaces shall not overlap circulation paths.,NONE,no match
11B-802.2,Lines of sight between heads.,Lines of sight between heads. Where standing spectators are provided lines of sight over the shoulders and between the heads of spectators s…,NONE,no match
11B-802.3,Type.,"Type. Companion seats shall be equivalent in size, quality, comfort and amenities to the seating in the immediate area. Companion seats shal…",NONE,no match
11B-802.4,Identification.,Identification. Each designated aisle seat shall be identified by a sign or marker with the International Symbol of Accessibility complying …,NONE,no match
11B-802.5,Semi-ambulant seats.,Semi-ambulant seats. Semi-ambulant seats shall provide at least 24 inches (610 mm) clear leg space between the front of the seat to the near…,NONE,no match
11B-803,General.,,NONE,no match
11B-803.1,General.,"General. Dressing, fitting and locker rooms shall comply with Section 11B-803. Dressing, fitting and locker rooms shall comply with Section …",NONE,no match
11B-803.2,Turning space.,Turning space. Turning space complying with Section 11B-304 shall be provided within the room. Turning space complying with Section 11B-304 …,NONE,no match
11B-803.3,Door swing.,Door swing. Doors shall not swing into the room unless a turning space complying with Section 11B-304.3 is provided beyond the arc of the do…,doors,keywords:doors
11B-803.4,Benches.,Benches. A bench complying with Section 11B-903 shall be provided within the room. A bench complying with Section 11B-903 shall be provided …,NONE,no match
11B-803.5,Coat hooks and shelves.,Coat hooks and shelves. Coat hooks provided within the room shall be located within one of the reach ranges specified in Section 11B-308. Sh…,NONE,no match
11B-803.6,Mirrors.,Mirrors. Mirrors shall be installed with the bottom edge of the reflecting surface 20 inches (508 mm) maximum above the finish floor or grou…,NONE,no match
11B-804,Kitchen.,,kitchens,anchors:kitchens
11B-804.1,General.,"General. Kitchens, kitchenettes and wet bars shall comply with Section 11B-804. Kitchens, kitchenettes and wet bars shall comply with Sectio…",kitchens,anchors:kitchens;keywords:kitchens
11B-804.2,Turning space.,Turning space. In kitchens within multi-bedroom housing units and on floors containing accessible sleeping rooms with adaptable features in …,kitchens,anchors:kitchens;keywords:kitchens
11B-804.3,Exposed surfaces.,Exposed surfaces. There shall be no sharp or abrasive surfaces under the work surface counters. There shall be no sharp or abrasive surfaces…,kitchens,anchors:kitchens;keywords:kitchens
11B-804.4,Sinks.,Sinks. Sinks shall comply with Section 11B-606. Sinks shall comply with Section 11B-606.,kitchens,anchors:kitchens;keywords:kitchens
11B-804.5,Storage.,Storage. At least 50 percent of shelf space in storage facilities shall comply with Section 11B-811. At least 50 percent of shelf space in s…,kitchens,anchors:kitchens;keywords:kitchens
11B-804.6,Refrigerator/freezer.,Refrigerator/freezer. Combination refrigerators and freezers shall have at least 50 percent of the freezer space 54 inches (1372 mm) maximum…,kitchens,anchors:kitchens;keywords:kitchens
11B-805,General.,,NONE,no match
11B-805.1,General.,General. Medical care facilities and long-term care facilities shall comply with Section 11B-805. All common use spaces and public use space…,NONE,no match
11B-805.2,Toilet and bathing rooms.,Toilet and bathing rooms. Toilet and bathing rooms that are provided as part of patient bedrooms and resident sleeping rooms complying with …,bathrooms,keywords:bathrooms
11B-805.3,Wheelchair spaces.,"Wheelchair spaces. Where seating is provided in waiting rooms, at least 5 percent of the seating shall be wheelchair spaces complying with S…",NONE,no match
11B-805.4,Turning space.,Turning space. Turning space complying with Section 11B-304 shall be provided within the room. Turning space complying with Section 11B-304 …,NONE,no match
11B-805.5,Patient change areas.,Patient change areas. Areas where patients change or are prepared for a procedure shall comply with Section 11B-222. Areas where patients ch…,NONE,no match
